date,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Aggregate
1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-01-01,12.16,20.13,8.37,-5.03,5.26,11.24,21.18,6.61,14.94,8.68,22.72,-3.91,1.35,24.01,30.51,24.1,5.54,5.75,13.75,4.79,6.24,20.23,15.32,18.44,9.06,4.64
1976-04-01,13.16,20.6,9.99,-4.43,5.54,8.88,21.19,5.95,14.81,8.66,21.13,-2.22,1.72,23.78,27.45,30.06,9.08,7.65,14.06,7.39,6.82,20.96,23.96,18.44,11.45,5.78
1976-07-01,12.03,20.56,5.73,-4.19,5.9,6.34,22.69,6.13,14.68,8.05,19.71,-0.5,2.31,23.5,24.84,31.31,9.77,7.35,14.34,8.41,6.45,21.75,23.76,18.44,13.22,6.33
1976-10-01,10.96,19.9,3.7,-2.4,6.27,10.19,15.65,4.65,14.54,8.5,18.45,1.22,2.89,23.2,22.59,30.44,10.46,6.75,14.63,7.78,3.91,22.84,20.36,18.49,13.7,6.39
1977-01-01,9.94,18.83,1.7,-1.06,6.64,7.62,17.3,3.55,14.87,7.26,15.87,2.92,3.62,21.63,21.3,34.68,12.58,6.81,15.38,9.95,2.46,24.76,20.32,18.68,12.81,7.78
1977-04-01,8.98,17.94,-0.31,0.34,6.99,12.6,1.22,4.09,14.53,6.13,15.46,4.59,4.07,21.82,19.29,37.6,9.56,7.09,15.31,10.38,1.38,25.2,17.15,18.64,11.98,7.97
1977-07-01,8.5,17.17,0.76,1.79,7.33,14.28,12.55,2.51,14.02,6.72,15.62,6.21,4.29,22.39,17.25,32.19,9.43,6.61,14.95,11.04,1.38,24.62,19.18,18.41,10.47,8.5
1977-10-01,8.04,16.33,6.12,1.33,7.68,15.2,12.13,1.87,13.36,8.18,16.28,7.74,4.51,23.26,15.16,26.75,7.68,4.8,14.32,13.7,2.41,22.74,24.71,17.76,10,9.38
1978-01-01,7.59,15.1,8.17,2.3,8.06,18.16,18.65,3.17,11.43,9.74,18.52,9.19,4.56,24.46,11.34,18.34,5.91,2.75,13,13.6,3.08,18.6,29.41,16.2,10.31,9.24
1978-04-01,7.17,13.76,9.48,3.34,8.26,16,32.54,3.45,10.98,12.88,19.52,10.54,4.86,25.74,9.82,10.81,4.24,1.22,12.24,12.95,2.03,16.66,37.95,15.96,10.39,9.42
1978-07-01,7.32,12.45,10.76,4.75,8.33,14.82,19.23,3.34,10.82,16.73,20.45,12.53,5.27,27.12,8.81,2.56,4.56,1.58,11.58,13.55,4.03,15.97,40.58,16.6,10.16,9.46
1978-10-01,7.46,11.2,7.07,6.75,8.3,10.79,17.34,3.82,10.93,20.5,21.31,12.19,5.88,28.54,8.27,0.81,3.38,2.96,11.03,12.53,6.9,16.33,47.36,18.28,10.98,9.29
1979-01-01,7.6,10.35,7.69,7.89,8.2,9.82,7.52,3.94,10.97,23.45,24.9,8.69,6.62,33.13,9.15,-3.13,3.54,4.58,11.2,13.79,8.08,18.28,58.76,21.7,12.45,9.94
1979-04-01,7.74,9.53,9.27,7.89,7.85,10.37,4.33,3.93,11.66,26.15,24.41,8.96,7.64,33.15,9.03,-8.34,4.78,5.25,10.37,13.22,11.1,19.06,71.76,23.48,14.4,9.94
1979-07-01,12.63,8.43,11.38,8.24,7.26,9.38,1.36,6.24,12.64,26.74,22.95,10.98,8.97,32.23,8.92,-3.51,3.26,5.47,9.23,12.44,13.23,19.24,88.8,24.3,17.31,10.2
1979-10-01,17.12,6.92,14.74,8.76,6.36,8.25,3.83,8.08,13.9,26.43,20.66,14.78,10.22,30.57,8.82,-6.25,4.08,5.49,7.74,11.65,13.35,18.83,95.04,24.13,19.09,10.38
1980-01-01,21.25,4.76,17.32,9.82,4.98,4.04,7.07,10.62,18.4,25.18,12.22,21.86,11.7,26.2,9.52,-5.98,6.51,5.82,5.14,9.03,14.97,17.23,92.5,22.22,20.16,10.15
1980-04-01,24.39,1.91,18.78,9.79,4.45,-3.55,3.44,12.83,18.77,21.63,10.86,25.18,12.46,24.45,9.12,-7.47,9.35,7.64,3.58,7.32,18.08,17.25,83.51,22.19,21.1,9.73
1980-07-01,20.15,-1.12,19.09,9.18,4.61,-3.34,16.18,14.02,18.26,18.16,10.75,24.35,12.8,22.97,8.43,-11.81,10.88,9.8,2.3,8.02,22.83,18.34,73.67,23.36,20.53,10.11
1980-10-01,15.25,-3.82,22.07,8.17,5.46,-3.04,21.83,13.73,16.99,11.98,11.76,28.61,12.63,21.71,7.47,-9.46,12.3,11.7,1.14,6.15,28.14,20.63,71.92,25.91,23.45,9.88
1981-01-01,16.88,-5.59,29.41,8.37,7.25,-1.84,16.83,13.68,12.85,8.33,19.64,37.81,11.86,23.31,5.94,-7.78,11.52,13.63,-0.38,5.13,32.57,24.97,77.4,30.96,30.71,10.17
1981-04-01,15.06,-6.11,33.28,9.68,7.98,-2.87,18.52,13.3,11.16,7.01,20.03,39.11,11.19,21.25,4.6,-11.14,9.87,18.74,-1.07,5.61,34.25,27.34,82.23,33.19,31.19,10.39
1981-07-01,10.54,-5.83,38.72,9.69,7.93,-8.2,12.59,13.62,9.66,4.64,19.19,37.45,10.37,18.41,3.13,-8.9,9.26,22.76,-1.33,4.08,33.09,28.62,87.4,33.68,26.91,9.67
1981-10-01,13.64,-5.16,27.5,9.72,7.2,-6.53,9.36,14.76,8.3,2.5,17.23,31.39,9.68,14.86,1.5,-14.73,7.78,27.46,-1.07,2.87,30.02,29.23,87.02,32.53,24.55,8.31
1982-01-01,5.02,-4.54,13.75,8.02,5.69,-6.73,2.39,16.13,6.58,-0.16,9.89,19.4,9.09,2.46,-2.54,-18.04,8.69,31.56,0.63,0.97,25.73,29.07,88.21,28.83,21.84,6.24
1982-04-01,4.53,-3.8,2.69,5.17,4.47,-1.79,-12.84,16.88,5.65,1.38,7.88,14.47,8.37,0.82,-3.63,-14.41,9.2,31.34,1.03,1.4,20.81,28.86,84.98,27.18,21.89,5.1
1982-07-01,4.85,-2.89,-11.86,3.72,3.38,-0.5,-21.24,16.78,5,2.29,6.55,13.82,7.56,1.48,-4.02,-8.66,9.16,26.28,1.14,-1.51,15.81,28.4,84.81,26.56,26.01,3.33
1982-10-01,0.4,-2.23,-14.43,3.01,2.34,0,-34.53,18,4.65,5.74,5.86,10.98,6.79,4.24,-3.69,-5.05,8.4,20.67,1.03,3.84,12.67,27.25,83.71,26.38,24.07,4
1983-01-01,3.45,-1.76,-11.94,2.53,1.29,9.03,-17.65,18.61,5.29,11.08,7.46,6.57,5.99,19.9,-0.89,-0.96,9.1,13.87,-0.32,7.43,14.43,24.81,79.28,26.52,17.19,4.73
1983-04-01,4.44,-1.58,-8.93,3.66,0.38,20.05,-10.22,18.74,5.11,10.3,7.2,4.38,5.28,21.76,0.2,3.35,7.25,7.68,-0.36,6.21,17.22,23.84,83.24,27.21,13.77,4.32
1983-07-01,5.6,-1.56,-2.7,5.05,-0.44,23.72,-13.29,19.24,4.89,11.87,6.81,3.38,4.61,21.3,1.31,2.55,5.67,7.87,-0,8.72,19.37,23.67,86.09,28.38,11.56,4.77
1983-10-01,8.81,-1.19,3.39,5.67,-1.18,24.27,-8.22,18.36,4.65,11.24,6.31,3.55,4.08,18.72,2.43,2.09,4.64,8.88,0.84,5.14,22.12,23.44,101.92,29.73,9.79,3.84
1984-01-01,10.78,-0.44,1.44,6.24,-1.89,21.58,-7.14,15.25,4.18,9.14,5.63,5.79,3.66,6.94,4.18,1.52,5.88,10.97,2.97,4.25,18.68,22.11,126.51,30.78,8.53,3.04
1984-04-01,10.02,0.42,2.6,6.22,-2.41,11.79,0.53,12.74,3.92,8.85,4.96,6.25,3.35,3.74,5.02,-2.22,9.5,12.37,3.78,4.3,12.45,23.96,149.9,33.66,7.85,2.88
1984-07-01,14.65,1.08,0.65,5.21,-2.75,11.53,17.76,10.27,3.69,8.5,4.21,5.73,3.18,1.43,5.61,-1.81,15.42,12.68,4.21,4.37,6.4,28.22,167.87,38.05,7.84,2.95
1984-10-01,10.86,1.4,-1.68,4.53,-2.92,13.05,23.89,7.55,3.53,9.14,3.37,4.99,2.97,-0.06,5.94,-0.19,21.14,12.23,4.43,4.56,-2.11,35.83,176.21,44.67,7.84,2.88
1985-01-01,11.89,1.52,-0.64,4.75,-2.93,11.41,18.16,6.28,3.17,8.38,1.3,3.37,2.77,1.06,4.58,-0.76,19.96,12.21,3.56,4.46,-7.34,49.37,160.84,55.21,8.13,3.05
1985-04-01,9.98,1.75,-0.47,4.18,-2.76,13.83,14.92,6.55,3.14,8.83,0.77,2.84,2.57,0.34,5.02,1.12,17.13,12.74,3.57,4.66,-8.98,57.06,154.98,61.74,8.16,3.04
1985-07-01,7.14,2.28,0.84,4.55,-2.38,19.6,3.19,6.09,3.22,7.15,0.62,2.89,2.34,-0.36,5.76,-0.74,17.5,13.8,3.73,5.25,-9.34,61.32,147.26,65.89,8.02,3.07
1985-10-01,10.3,2.96,5.72,5.13,-1.75,17.61,11.24,6.82,3.45,9.06,0.84,3.52,2.21,-1.04,6.79,0.94,20.52,14.11,4.11,5.57,-6.6,62.02,113.76,68,7.95,3.65
1986-01-01,6.58,3.7,8.01,5.43,-0.74,19.26,9.4,7.07,3.88,11.02,3.44,5.21,2.11,-3.62,10.16,3.37,26.61,12.69,3.82,6.07,-4.72,56.5,79.23,67.1,7.76,3.84
1986-04-01,9.27,4.47,9.3,5.48,-0.22,15.15,-10.3,5.75,4.27,12,3.56,5.97,2.16,-4.71,10.86,3.27,30.38,10.3,4.56,6.63,-4.69,57.52,39.75,68.36,7.99,3.93
1986-07-01,8.43,5.19,11.47,5.6,-0.08,5.67,-16.87,5.81,4.71,14.07,3.24,6.43,2.17,-5.16,11.03,6.26,28.94,8.68,5.91,6.61,-3.77,62.36,6.28,70.62,8.55,3.99
